INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Central State University,Wilberforce,OH,45384-1004,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Ohio,Great Lakes,0.5708,Fringe,Rural
Inter American University of Puerto Rico-Metro,San Juan,PR,919,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,0.1793,Large,City
Clark Atlanta University,Atlanta,GA,30314-4391,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Georgia,Southeast,0.5185,Large,City
University of Puerto Rico-Rio Piedras,San Juan,PR,00931-0000,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Puerto Rico,Outlying Areas,0.4267,Large,City
Savannah State University,Savannah,GA,31404-5310,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.2918,Midsize,City
Spelman College,Atlanta,GA,30314-4399,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Georgia,Southeast,0.3934,Large,City
Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,00717-9997,Middle States Commission on Higher Education,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,0.9171,Midsize,City
Inter American University of Puerto Rico-Arecibo,Arecibo,PR,614,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,0.2828,Small,City
Inter American University of Puerto Rico-Ponce,Mercedita,PR,00715-1602,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,0.2754,Midsize,Suburb
Inter American University of Puerto Rico-Bayamon,Bayamon,PR,00957-6257,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Puerto Rico,Outlying Areas,0.3072,Large,Suburb
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Alabama,Southeast,0.3859,Midsize,City
Carrington College-Tucson,Tucson,AZ,85745,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,6,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Arizona,Southwest,0.8736,Large,City
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,0.7113,Large,City
Bais Binyomin Academy,Monsey,NY,10952,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.8182,Large,Suburb
National Conservatory of Dramatic Arts,Washington,DC,20007,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,District of Columbia,Mid East,0.8,Large,City
Carlos Albizu University-Miami,Miami,FL,33172-2209,Middle States Commission on Higher Education,0,Not main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.5,Large,Suburb
Johnson University Florida,Kissimmee,FL,34744,Southern Association of Colleges and Schools Commission on Colleges,0,Not main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.6541,Large,Suburb
Florida Memorial University,Miami Gardens,FL,33054-6199,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.3319,Large,Suburb
Saint John Vianney College Seminary,Miami,FL,33165-3244,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,1.0,Large,Suburb
Morehouse College,Atlanta,GA,30314,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Georgia,Southeast,0.5788,Large,City
Graham Hospital School of Nursing,Canton,IL,61520-2497,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Illinois,Great Lakes,1.0,Distant,Town
National Latino Education Institute,Chicago,IL,60609-2205,Accrediting Council for Independent Colleges and Schools,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Illinois,Great Lakes,0.6364,Large,City
Taylor Business Institute,Chicago,IL,60601,Higher Learning Commission,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private for-profit,Illinois,Great Lakes,0.8767,Large,City
Telshe Yeshiva-Chicago,Chicago,IL,60625,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Illinois,Great Lakes,1.0,Large,City
Ancilla College,Donaldson,IN,46513-0001,Higher Learning Commission,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,Indiana,Great Lakes,0.6921,Distant,Rural
Haskell Indian Nations University,Lawrence,KS,66046-4800,Higher Learning Commission,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Public,Kansas,Plains,0.676,Small,City
Tabor College,Hillsboro,KS,67063-1799,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Kansas,Plains,0.5748,Remote,Town
Alice Lloyd College,Pippa Passes,KY,41844,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Kentucky,Southeast,0.2778,Remote,Rural
Kentucky Mountain Bible College,Jackson,KY,41339,Association for Bibical Higher Educaiton,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Kentucky,Southeast,0.4906,Distant,Rural
Ner Israel Rabbinical College,Baltimore,MD,21208,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.8409,Large,Suburb
Assabet Valley Regional Technical School,Marlborough,MA,1752,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Massachusetts,New England,0.4516,Large,Suburb
Boston Baptist College,Boston,MA,02136-4030,Transnational Association of Christian Colleges and Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Massachusetts,New England,0.7727,Large,City
Flint Institute of Barbering Inc,Flint,MI,48504-4395,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Michigan,Great Lakes,0.7813,Small,City
Hillsdale College,Hillsdale,MI,49242,,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.3599,Distant,Town
Rust College,Holly Springs,MS,38635,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Mississippi,Southeast,0.5322,Distant,Town
Tougaloo College,Tougaloo,MS,39174,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Mississippi,Southeast,0.9147,Midsize,City
Grand River Technical School,Chillicothe,MO,64601,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Missouri,Plains,0.7206,Remote,Town
Cottey College,Nevada,MO,64772,Higher Learning Commission,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,Missouri,Plains,0.3804,Remote,Town
Kenrick Glennon Seminary,Saint Louis,MO,63119-4399,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Missouri,Plains,0.75,Large,Suburb
Lex La-Ray Technical Center,Lexington,MO,64067-1525,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Missouri,Plains,0.6522,Distant,Town
Midwest Institute,Fenton,MO,63026,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,Missouri,Plains,1.0,Large,Suburb
Hillyard Technical Center,Saint Joseph,MO,64506-5102,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Missouri,Plains,0.7347,Small,City
Stevens-The Institute of Business & Arts,Saint Louis,MO,63103,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Missouri,Plains,1.0,Large,City
Rolla Technical Institute/Center,Rolla,MO,65401,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Missouri,Plains,0.7206,Remote,Town
Summit Christian College,Gering,NE,69341,Association for Bibical Higher Educaiton,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,Nebraska,Plains,1.0,Remote,Town
Thomas More College of Liberal Arts,Merrimack,NH,3054,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Hampshire,New England,0.5045,Midsize,Suburb
Rabbinical College of America,Morristown,NJ,07960-3600,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Jersey,Mid East,0.8732,Large,Suburb
Talmudical Academy-New Jersey,Adelphia,NJ,7710,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New Jersey,Mid East,0.8333,Large,Suburb
The Ailey School,New York,NY,10019-4402,National Association of Schools of Dance,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,0.3777,Large,City
Arnot Ogden Medical Center,Elmira,NY,14905-1676,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,1.0,Small,City
Associated Beth Rivkah Schools,Brooklyn,NY,11225-0000,Association of Institutions of Jewish Studies,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,0.9701,Large,City
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.7879,Large,City
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11230-2798,Association of Institutions of Jewish Studies,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,1.0,Large,City
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901-1438,Joint Review Committee on Education in Radiologic Technology,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,0.5,Distant,Town
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11691-5219,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.8333,Large,City
Jewish Theological Seminary of America,New York,NY,10027-4649,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.4676,Large,City
Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.9,Large,City
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651,Accrediting Bureau of Health Education Schools,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,New York,Mid East,1.0,Distant,Town
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.625,Large,City
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218-5559,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.875,Large,City
Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.9048,Large,City
Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.75,Large,City
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,1.0,Large,City
Rabbinical College Beth Shraga,Monsey,NY,10952-3033,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly associate's-degree granting,Non-degree-granting,Private nonprofit,New York,Mid East,1.0,Large,Suburb
Rabbinical College of Long Island,Long Beach,NY,11561,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.9778,Large,Suburb
Rabbinical Seminary of America,Flushing,NY,11367,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.9873,Large,City
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11559-1714,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.6667,Large,Suburb
Talmudical Seminary Oholei Torah,Brooklyn,NY,11213,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.9429,Large,City
Torah Temimah Talmudical Seminary,Brooklyn,NY,11218,Association of Advanced Rabbinical and Talmudic Schools,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.8,Large,City
