INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Oregon State University-Cascades Campus,Bend,OR,97702,Northwest Commission on Colleges and Universities,0,Not main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Public,Oregon,Far West,0.7799,Small,City
Birmingham-Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Alabama,Southeast,0.5666,Midsize,City
Assumption College,Worcester,MA,01609-1296,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.8107,Midsize,City
Upper Cape Cod Regional Technical School,Bourne,MA,2532,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Massachusetts,New England,0.3333,Midsize,Suburb
Eckerd College,Saint Petersburg,FL,33711-4700,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Florida,Southeast,0.6766,Large,City
Eastern Mennonite University,Harrisonburg,VA,22802-2462,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Virginia,Southeast,0.592,Small,City
Edgewood College,Madison,WI,53711-1997,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.7288,Large,City
DeVry University-Pennsylvania,Ft. Washington,PA,19034,Higher Learning Commission,0,Not main campus,17,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,Pennsylvania,Mid East,1.0,Large,Suburb
University of Arkansas,Fayetteville,AR,72701,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Arkansas,Southeast,0.7747,Small,City
Stetson University,DeLand,FL,32723,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.6842,Midsize,Suburb
New England School of Photography,Waltham,MA,2453,,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Massachusetts,New England,0.7708,Small,City
Otterbein University,Westerville,OH,43081,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.8102,Large,Suburb
The University of the Arts,Philadelphia,PA,19102-4901,Middle States Commission on Higher Education,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7517,Large,City
St. John's College,Santa Fe,NM,87505-4599,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Mexico,Southwest,0.6704,Fringe,Rural
Erie 1 BOCES,West Seneca,NY,14224,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.1724,Large,Suburb
Studio Incamminati,Philadelphia,PA,19107-1105,National Association of Schools of Arts and Design,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Pennsylvania,Mid East,1.0,Large,City
Florida State University,Tallahassee,FL,32306-1037,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.3678,Midsize,City
Lutheran School of Nursing,Saint Louis,MO,63118-3909,,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Missouri,Plains,1.0,Large,City
University of North Carolina School of the Arts,Winston Salem,NC,27127-2738,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,North Carolina,Southeast,0.3823,Midsize,City
Thomas Aquinas College,Santa Paula,CA,93060,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,California,Far West,0.7773,Distant,Rural
Grand Valley State University,Allendale,MI,49401-9403,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Michigan,Great Lakes,0.8275,Large,Suburb
West Chester University of Pennsylvania,West Chester,PA,19383,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Pennsylvania,Mid East,0.7444,Large,Suburb
Wilkes University,Wilkes-Barre,PA,18766,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7482,Small,City
Dallas Baptist University,Dallas,TX,75211-9299,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.8807,Large,City
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Nebraska,Plains,0.907,Large,City
King's College,Wilkes-Barre,PA,18711-0801,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7759,Small,City
Texas State University,San Marcos,TX,78666,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.4554,Small,Suburb
Central Coast College,Salinas,CA,93901-3301,Accrediting Council for Continuing Education & Training,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.9568,Midsize,City
University of South Florida-Sarasota-Manatee,Sarasota,FL,34243-2049,Southern Association of Colleges and Schools Commission on Colleges,0,Not main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.3243,Large,Suburb
Middle Georgia State University,Macon,GA,31206,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.9196,Midsize,City
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,15224,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Pennsylvania,Mid East,1.0,Large,City
Lebanon Valley College,Annville,PA,17003-1400,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7821,Small,Suburb
Florida International University,Miami,FL,33199,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Florida,Southeast,0.5856,Large,Suburb
Missouri Southern State University,Joplin,MO,64801-1595,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Missouri,Plains,0.9562,Small,City
Elon University,Elon,NC,27244-2010,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,North Carolina,Southeast,0.7214,Midsize,Suburb
Moore College of Art and Design,Philadelphia,PA,19103-1179,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.5195,Large,City
Mount Carmel College of Nursing,Columbus,OH,43222-1504,Higher Learning Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.7818,Large,City
Florida Institute of Technology,Melbourne,FL,32901-6975,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.6504,Small,City
Columbus State University,Columbus,GA,31907-5645,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.5639,Midsize,City
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.7617,Fringe,Town
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.7369,Fringe,Town
Cabrini University,Radnor,PA,19087-3698,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7189,Large,Suburb
Cedar Crest College,Allentown,PA,18104-6196,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.5719,Midsize,City
Rockford University,Rockford,IL,61108-2311,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.4903,Midsize,City
University of Southern Maine,Portland,ME,4103,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maine,New England,0.8543,Small,City
Five Towns College,Dix Hills,NY,11746-5871,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,New York,Mid East,0.413,Large,Suburb
SUNY College at Potsdam,Potsdam,NY,13676-2294,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.643,Remote,Town
Oklahoma Christian University,Edmond,OK,73013,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oklahoma,Southwest,0.6476,Large,City
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Alabama,Southeast,0.7543,Small,City
Aurora University,Aurora,IL,60506-4892,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.8116,Large,Suburb
Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,North Carolina,Southeast,0.7854,Large,City
Boise State University,Boise,ID,83725,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Idaho,Rocky Mountains,0.8075,Midsize,City
Maharishi University of Management,Fairfield,IA,52557,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Iowa,Plains,1.0,Remote,Town
Messiah College,Mechanicsburg,PA,17055,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7889,Large,Suburb
Brandman University,Irvine,CA,92618,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.7917,Large,City
The College of Idaho,Caldwell,ID,83605-4432,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Idaho,Rocky Mountains,0.492,Midsize,Suburb
Olivet Nazarene University,Bourbonnais,IL,60914-2271,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.6506,Small,Suburb
Southern Illinois University-Edwardsville,Edwardsville,IL,62026-1259,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Illinois,Great Lakes,0.8744,Large,Suburb
University of Louisiana at Lafayette,Lafayette,LA,70503,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Louisiana,Southeast,0.5599,Midsize,City
Northwest Christian University,Eugene,OR,97401-3745,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.6242,Midsize,City
West Coast University-Miami,Doral,FL,33178-2431,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,6,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Florida,Southeast,1.0,Large,Suburb
Augustana College,Rock Island,IL,61201-2296,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Illinois,Great Lakes,0.6369,Small,City
MidAmerica Nazarene University,Olathe,KS,66062-1899,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Kansas,Plains,0.5853,Large,Suburb
Nebraska Christian College of Hope International University,Papillion,NE,68046,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Not main campus,2,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Nebraska,Plains,0.3354,Fringe,Rural
Joe Kubert School of Cartoon and Graphic Art,Dover,NJ,7801,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,New Jersey,Mid East,0.962,Large,Suburb
Roberts Wesleyan College,Rochester,NY,14624,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.6461,Large,Suburb
Johnson & Wales University-Providence,Providence,RI,02903-3703,New England Commission on Higher Education,0,Main campus,4,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Rhode Island,New England,0.91,Midsize,City
St. Mary's University,San Antonio,TX,78228,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.7497,Large,City
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,NY,12601-6599,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,New York,Mid East,0.662,Large,Suburb
University of Arkansas at Little Rock,Little Rock,AR,72204,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Arkansas,Southeast,0.7933,Midsize,City
Cazenovia College,Cazenovia,NY,13035,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.8215,Fringe,Town
Herzing University-Madison,Madison,WI,53718,Higher Learning Commission,0,Main campus,10,Predominantly associate's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,1.0,Large,City
Lasell University,Newton,MA,2466,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.7978,Small,City
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.7367,Distant,Town
The University of Tennessee-Chattanooga,Chattanooga,TN,37403-2598,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Tennessee,Southeast,0.7562,Midsize,City
Richard Bland College,South Prince George,VA,23805-7100,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Public,Virginia,Southeast,0.5765,Fringe,Rural
Bay Path University,Longmeadow,MA,1106,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.6041,Large,Suburb
John Carroll University,University Heights,OH,44118-4538,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.8325,Large,Suburb
Mount Mercy University,Cedar Rapids,IA,52402-4797,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Iowa,Plains,0.6281,Midsize,City
Saint Francis University,Loretto,PA,15940,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7538,Fringe,Town
Sierra Nevada College,Incline Village,NV,89451,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Nevada,Far West,0.6433,Distant,Town
University of Wisconsin Colleges Flex,Madison,WI,53719,Higher Learning Commission,0,Not main campus,1,Predominantly associate's-degree granting,Associate degree,Public,Wisconsin,Great Lakes,0.4444,Large,City
University of the Incarnate Word,San Antonio,TX,78209,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.8794,Large,City
Ursuline College,Pepper Pike,OH,44124,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Ohio,Great Lakes,0.9034,Large,Suburb
Friends University,Wichita,KS,67213,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Kansas,Plains,0.4735,Large,City
Fitchburg State University,Fitchburg,MA,01420-2697,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.8689,Midsize,Suburb
Georgia Southern University,Statesboro,GA,30460-8126,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Georgia,Southeast,0.6767,Distant,Town
Springfield College,Springfield,MA,01109-3797,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.6317,Midsize,City
Winona State University,Winona,MN,55987-5838,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Minnesota,Plains,0.6572,Distant,Town
Salem College,Winston-Salem,NC,27101,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,North Carolina,Southeast,0.3947,Midsize,City
Multnomah University,Portland,OR,97220,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.5352,Large,City
Furman University,Greenville,SC,29613-6162,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,South Carolina,Southeast,0.6105,Large,Suburb
Concordia University-Wisconsin,Mequon,WI,53097-2402,Higher Learning Commission,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6473,Large,Suburb
Georgian Court University,Lakewood,NJ,08701-2697,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Jersey,Mid East,0.725,Small,City
Miami University-Oxford,Oxford,OH,45056,Higher Learning Commission,0,Main campus,3,Predominantly bachelor's-degree granting,Graduate degree,Public,Ohio,Great Lakes,0.7455,Fringe,Town
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Alabama,Southeast,0.9281,Midsize,City
University of Northern Colorado,Greeley,CO,80639,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Colorado,Rocky Mountains,0.9075,Midsize,City
Albright College,Reading,PA,19612-5234,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.62,Small,City
Gettysburg College,Gettysburg,PA,17325,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Pennsylvania,Mid East,0.4541,Small,City
Mount Saint Mary College,Newburgh,NY,12550,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.9378,Large,Suburb
Concordia University-Chicago,River Forest,IL,60305-1499,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.76,Large,Suburb
University of Advancing Technology,Tempe,AZ,85283,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,Arizona,Southwest,0.8266,Midsize,City
Frostburg State University,Frostburg,MD,21532-1099,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Maryland,Mid East,0.7831,Small,Suburb
Cornerstone University,Grand Rapids,MI,49525-5897,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.7339,Midsize,City
New Mexico Military Institute,Roswell,NM,88201-5173,Higher Learning Commission,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Public,New Mexico,Southwest,0.3741,Remote,Town
University of Toledo,Toledo,OH,43606-3390,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Ohio,Great Lakes,0.9365,Large,City
Union University,Jackson,TN,38305-3697,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Tennessee,Southeast,0.5742,Small,City
Carthage College,Kenosha,WI,53140-1994,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6783,Midsize,Suburb
New Hope Christian College-Eugene,Eugene,OR,97405,Association for Bibical Higher Educaiton,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,1.0,Midsize,City
College of Charleston,Charleston,SC,29424-0001,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,South Carolina,Southeast,0.7926,Midsize,City
Madonna University,Livonia,MI,48150-1176,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Michigan,Great Lakes,0.7827,Small,City
University of the Southwest,Hobbs,NM,88240,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New Mexico,Southwest,0.4478,Fringe,Rural
SUNY Oneonta,Oneonta,NY,13820-4015,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.5066,Remote,Town
Northeastern State University,Tahlequah,OK,74464-2399,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Oklahoma,Southwest,0.9754,Remote,Town
Corban University,Salem,OR,97317-9392,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.9091,Midsize,City
American Musical and Dramatic Academy,New York,NY,10023,National Association of Schools of Theatre,0,Main campus,1,Predominantly certificate-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.2366,Large,City
Marywood University,Scranton,PA,18509-1598,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.7636,Small,City
Northern State University,Aberdeen,SD,57401-7198,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,South Dakota,Plains,0.8811,Remote,Town
Palm Beach Atlantic University,West Palm Beach,FL,33401,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Florida,Southeast,0.9529,Midsize,City
Reading Hospital School of Health Sciences,Reading,PA,19611,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,Pennsylvania,Mid East,0.2992,Small,City
Advanced Technology Institute,Virginia Beach,VA,23462,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Associate degree,Private for-profit,Virginia,Southeast,0.7813,Large,City
Marian University,Fond Du Lac,WI,54935-4699,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Wisconsin,Great Lakes,0.6504,Small,City
Athena Career Academy,Toledo,OH,43615,Council on Occupational Education,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Private for-profit,Ohio,Great Lakes,0.3927,Large,City
Illinois State University,Normal,IL,61790-1000,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Illinois,Great Lakes,0.8918,Midsize,Suburb
Sterling College,Sterling,KS,67579,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Kansas,Plains,0.4052,Distant,Rural
Judson University,Elgin,IL,60123-1498,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.7101,Midsize,City
Hope College,Holland,MI,49422-9000,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Michigan,Great Lakes,0.7561,Small,City
Immaculata University,Immaculata,PA,19345,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.8076,Large,Suburb
Washington & Jefferson College,Washington,PA,15301,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.8236,Large,Suburb
Hollins University,Roanoke,VA,24020,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Virginia,Southeast,0.6392,Midsize,Suburb
Western Michigan University,Kalamazoo,MI,49008-5200,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Michigan,Great Lakes,0.811,Small,City
University of Central Arkansas,Conway,AR,72035-0001,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Arkansas,Southeast,0.911,Small,City
Southwest Minnesota State University,Marshall,MN,56258-5468,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Minnesota,Plains,0.6034,Remote,Town
SUNY College at Brockport,Brockport,NY,14420-2919,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.5331,Fringe,Town
The University of Texas of the Permian Basin,Odessa,TX,79762-0001,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.905,Midsize,City
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Wisconsin,Great Lakes,0.7065,Small,City
Sacred Heart University,Fairfield,CT,06825-1000,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Connecticut,New England,0.6044,Large,Suburb
Goshen College,Goshen,IN,46526-4794,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Indiana,Great Lakes,0.6603,Small,City
Valparaiso University,Valparaiso,IN,46383,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Indiana,Great Lakes,0.8931,Large,Suburb
Albion College,Albion,MI,49224,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,Michigan,Great Lakes,0.6824,Fringe,Town
